iter	Passed	Remaining
253	4739	13919
254	4748	13874
255	4762	13842
256	4773	13800
257	4785	13762
258	4797	13726
259	4808	13685
260	4822	13653
261	4834	13618
262	4848	13586
263	4859	13547
264	4872	13514
265	4885	13482
266	4898	13448
267	4908	13407
268	4921	13375
269	4932	13334
270	4943	13298
271	4954	13259
272	4965	13222
273	4976	13187
274	4988	13150
275	4999	13114
276	5011	13081
277	5021	13042
278	5033	13008
279	5044	12971
280	5055	12935
281	5064	12893
282	5076	12861
283	5086	12823
284	5097	12789
285	5107	12751
286	5116	12710
287	5124	12667
288	5132	12626
289	5140	12585
290	5149	12546
291	5157	12505
292	5165	12465
293	5174	12425
294	5182	12385
295	5190	12345
296	5199	12306
297	5211	12275
298	5220	12239
299	5229	12201
300	5237	12163
301	5245	12124
302	5254	12086
303	5262	12048
304	5271	12012
305	5280	11975
306	5288	11937
307	5296	11900
308	5304	11862
309	5313	11827
310	5327	11803
311	5341	11778
312	5350	11744
313	5362	11716
314	5375	11690
315	5386	11658
316	5399	11634
317	5410	11603
318	5423	11577
319	5433	11546
320	5446	11520
321	5458	11494
322	5471	11467
323	5481	11436
324	5494	11411
325	5506	11385
326	5517	11355
327	5528	11326
328	5539	11298
329	5549	11267
330	5561	11240
331	5571	11209
332	5583	11183
333	5593	11154
334	5605	11127
335	5615	11098
336	5626	11069
337	5637	11041
338	5648	11013
339	5659	10985
340	5668	10955
341	5679	10927
342	5690	10900
343	5700	10870
344	5711	10844
345	5721	10815
346	5732	10788
347	5743	10760
348	5754	10733
349	5765	10707
350	5776	10680
351	5792	10663
352	5810	10649
353	5830	10640
354	5844	10618
355	5859	10599
356	5874	10580
357	5887	10557
358	5909	10551
359	5927	10537
360	5939	10512
361	5949	10485
362	5961	10460
363	5975	10441
364	5992	10425
365	6017	10423
366	6037	10412
367	6060	10407
368	6077	10391
369	6089	10369
370	6098	10340
371	6112	10319
372	6125	10296
373	6137	10272
374	6150	10250
375	6161	10226
376	6186	10223
377	6226	10245
378	6252	10245
379	6272	10234
380	6284	10210
381	6298	10189
382	6307	10161
383	6321	10140
384	6329	10110
385	6340	10085
386	6350	10059
387	6362	10035
388	6371	10007
389	6383	9984
390	6397	9964
391	6413	9947
392	6425	9924
393	6436	9900
394	6448	9877
395	6458	9851
396	6469	9826
397	6483	9806
398	6492	9778
399	6501	9751
400	6508	9722
